bookId-chunkNo	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34
pg5400-15	0.0202	0.2436	0.0563	0.0636	0.0181	0.0282	0.0368	0.0813	0.0422	0.0009	0.0018	0.0087	0.0055	0.1295	-0.0231	0.0423	0.5556	0.1852	0.2593	0.7387	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.4225	0.4737	0
pg5400-12	0.0221	0.2348	0.1041	0.0864	0.0222	0.0297	0.0351	0.0708	0.0502	0.0001	0.0018	0.0074	0.0063	0.1152	-0.082	0.0507	0.5926	0.1111	0.2963	0.8005	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.4113	0.6842	0
pg5400-13	0.0193	0.317	0.0196	0.0865	0.0255	0.0323	0.0359	0.0677	0.0456	0.0002	0.0008	0.0087	0.0067	0.1133	-0.0562	0.0428	0.4074	0.2222	0.3704	0.769	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.3721	0.5789	0
pg1386-5	0.0179	0.2029	0.0696	0.0799	0.0236	0.021	0.0368	0.0614	0.0323	0.0024	0.0077	0.0097	0.0079	0.118	0.0296	0.0377	0.5926	0.1481	0.2593	0.6422	-0.0259	0.4055	-0.0072	-0.0101	0.0132	-0.0028	0.0061	0.0015	-0.0044	0.0129	-0.0077	-0.0015	0.3014	0.3158	0
pg5400-18	0.0223	0.13	0.2166	0.1106	0.0279	0.0263	0.031	0.068	0.0493	0.0004	0.0033	0.0072	0.0047	0.1099	-0.0722	0.0475	0.4615	0.0769	0.4615	0.7738	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.3935	0.4211	0
pg1386-4	0.0222	0.1953	0.1131	0.0827	0.0269	0.0213	0.0314	0.0544	0.0359	0.0019	0.0089	0.0109	0.0108	0.1075	-0.0238	0.0478	0.2963	0.2222	0.4815	0.6757	-0.0259	0.4055	-0.0072	-0.0101	0.0132	-0.0028	0.0061	0.0015	-0.0044	0.0129	-0.0077	-0.0015	0.332	0.3684	0
pg5400-19	0.0146	0.2436	0.0123	0.0763	0.021	0.031	0.0336	0.0652	0.0379	0.0006	0.0026	0.0122	0.0067	0.1142	0.0037	0.0332	0.4444	0.2593	0.2963	0.6776	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.342	0.4211	0
pg1386-3	0.0182	0.1924	0.1288	0.0939	0.0272	0.0219	0.0297	0.0555	0.0355	0.0023	0.0079	0.011	0.0112	0.1064	-0.0244	0.0416	0.5185	0.1852	0.2963	0.7075	-0.0259	0.4055	-0.0072	-0.0101	0.0132	-0.0028	0.0061	0.0015	-0.0044	0.0129	-0.0077	-0.0015	0.3052	0.2368	0
pg5400-16	0.0178	0.1622	0.0689	0.0738	0.0162	0.0338	0.0388	0.0699	0.0387	0.0002	0.003	0.0116	0.0048	0.1235	0.0021	0.0364	0.4815	0.1481	0.3704	0.711	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.3905	0.4737	0
pg1386-2	0.0199	0.1668	0.0851	0.0894	0.0257	0.0208	0.033	0.06	0.0401	0.0014	0.008	0.0137	0.0123	0.1161	-0.0507	0.0413	0.4444	0.1111	0.4444	0.7278	-0.0259	0.4055	-0.0072	-0.0101	0.0132	-0.0028	0.0061	0.0015	-0.0044	0.0129	-0.0077	-0.0015	0.2311	0.2105	0
pg5400-17	0.0255	0.2083	0.1224	0.0929	0.0223	0.0247	0.0303	0.0748	0.0483	0.0006	0.002	0.0082	0.0036	0.1159	-0.0636	0.0551	0.3704	0.2222	0.4074	0.7425	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.4779	0.4211	0
pg4514-1	0.0157	0.4079	0.027	0.0851	0.0262	0.0257	0.0339	0.0466	0.0414	0.0029	0.0024	0.025	0.0076	0.1108	-0.0438	0.0229	0.4	0.2	0.4	0.7285	-0.0293	0.2892	0.0127	-0.0032	0.0015	0.0097	-0.0032	0.0082	-0.0117	-0.005	0.0007	-0.0097	0.1321	0.1579	0
pg5400-10	0.0179	0.2627	0.0065	0.0739	0.0186	0.0273	0.0411	0.0684	0.0456	0.0002	0.0017	0.0078	0.0049	0.1192	-0.0402	0.0301	0.4444	0.1481	0.4074	0.7796	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.2786	0.3684	0
pg5400-11	0.0197	0.2377	0.0458	0.0725	0.0192	0.0277	0.0422	0.0658	0.0498	0.0005	0.0028	0.0091	0.0071	0.1204	-0.0726	0.0397	0.3704	0.1111	0.5185	0.7809	0.6897	0.2279	-0.0034	-0.0068	-0.0089	0.0102	0.0072	0.0085	-0.0068	-0.008	0.0118	-0.004	0.3259	0.4737	0
pg43925-6	0.0295	0.3127	0.0819	0.0714	0.0287	0.0233	0.0263	0.0783	0.0364	0.0012	0.0138	0.0052	0.0081	0.1248	-0.0062	0.0587	0.36	0.12	0.52	0.6882	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.6102	0.3421	0
pg43925-5	0.0165	0.302	0.0583	0.0618	0.0309	0.0253	0.0294	0.0848	0.0321	0.0028	0.0129	0.0034	0.0048	0.1333	0.0639	0.0263	0.12	0.28	0.6	0.5957	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.3206	0.2632	0
pg14712-10	0.0081	0.5942	0.0326	0.0613	0.0247	0.0298	0.0322	0.0573	0.0403	0.0008	0.0069	0.0099	0.0028	0.1071	0.0243	0.0137	0.32	0.12	0.56	0.6773	-0.066	-0.2759	0.0127	0.0043	-0.0057	-0.0015	0.0057	-0.0091	-0.0048	0.0123	-0.0079	-0.0061	0.1175	0.1579	0
pg43925-4	0.0215	0.3117	0.018	0.0705	0.0296	0.0227	0.0211	0.0794	0.0295	0.0032	0.0152	0.0066	0.007	0.1255	0.0704	0.0411	0.56	0.2	0.24	0.6402	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.5271	0.1842	0
pg14712-11	0.0084	0.6607	0.0034	0.0605	0.0285	0.0263	0.0308	0.0633	0.0398	0.0007	0.0065	0.0106	0.0043	0.1119	0.006	0.0115	0.48	0.16	0.36	0.6911	-0.066	-0.2759	0.0127	0.0043	-0.0057	-0.0015	0.0057	-0.0091	-0.0048	0.0123	-0.0079	-0.0061	0.0702	0.1316	0
pg43925-3	0.0219	0.1908	0.1174	0.0743	0.0279	0.0258	0.0279	0.0793	0.0353	0.0022	0.0122	0.0043	0.0071	0.1259	0.0117	0.0411	0.48	0.08	0.44	0.663	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.4543	0.3421	0
pg43925-2	0.0265	0.2713	0.014	0.0657	0.0272	0.0252	0.0261	0.0806	0.0331	0.0045	0.0105	0.0065	0.0072	0.1282	0.0287	0.051	0.32	0.24	0.44	0.6749	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.5828	0.3421	0
pg43925-1	0.0239	0.3928	0	0.057	0.026	0.0239	0.0266	0.0769	0.0337	0.0021	0.0122	0.0075	0.0071	0.1253	0.0475	0.0443	0.36	0.52	0.12	0.6448	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.522	0.1579	0
pg19412-1	0.0157	0.1224	0.1337	0.0942	0.021	0.0238	0.0341	0.0646	0.0327	0.0015	0.0047	0.0147	0.0056	0.1196	0.0618	0.016	0.2083	0.0833	0.7083	0.6964	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.0783	0.1842	0
pg19412-2	0.0136	0.2068	0.1326	0.1089	0.0178	0.0229	0.0344	0.0637	0.0407	0.0009	0.0073	0.0101	0.0039	0.1164	-0.001	0.0271	0.375	0.0833	0.5417	0.7415	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.1957	0.3684	0
pg35212-9	0.0143	0.0129	0	0.014	0.0089	0.0251	0.0266	0.1301	0.0609	0.0003	0.0032	0.0192	0	0.1794	-0.085	0.0041	0.2222	0.5556	0.2222	0.5759	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0	0	0
pg35212-8	0.021	0.0442	0.0034	0.0158	0.0136	0.0311	0.0392	0.0687	0.0334	0.0004	0.0039	0.0197	0.0002	0.1319	0.1363	0.006	0.3684	0.3158	0.3158	0.4642	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0.0239	0.0526	0
pg35212-7	0.0198	0.0791	0	0.0185	0.0131	0.0253	0.0425	0.067	0.0313	0.0005	0.0043	0.017	0.0002	0.1313	0.1708	0.0067	0.2632	0.3158	0.4211	0.4737	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0.0096	0	0
pg19412-5	0.0132	0.1057	0.1206	0.0842	0.0161	0.0242	0.035	0.0689	0.0361	0.0009	0.0055	0.0099	0.0042	0.1202	0.0305	0.0141	0.4583	0.125	0.4167	0.7	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.0703	0.1842	0
pg35212-6	0.0187	0.1046	0	0.0176	0.013	0.0277	0.0388	0.0687	0.0314	0.0009	0.0063	0.0199	0.0002	0.1346	0.1609	0.0088	0.3158	0.3684	0.3158	0.4658	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0.0125	0	0
pg19412-6	0.0156	0.2055	0.0157	0.1018	0.0164	0.0218	0.0393	0.069	0.0381	0.0002	0.0065	0.0079	0.0045	0.1229	0.014	0.0195	0.25	0.2083	0.5417	0.7642	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.1215	0.1579	0
