bookId-chunkNo	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34
pg12972-3	0.014	0.1605	0.1106	0.0975	0.0246	0.0252	0.0371	0.054	0.0482	0.0003	0.0021	0.0171	0.0035	0.1106	-0.0636	0.028	0.303	0.1212	0.5758	0.7967	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1965	0.2368	0
pg12972-4	0.0137	0.1788	0.2229	0.1025	0.0267	0.0264	0.0347	0.0527	0.0534	0	0.0014	0.0112	0.0035	0.1	-0.0891	0.0339	0.5588	0.0588	0.3824	0.8245	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2149	0.1842	0
pg12972-1	0.0153	0.0772	0.1543	0.1032	0.0251	0.0245	0.0365	0.0465	0.0512	0	0.0011	0.0113	0.0032	0.0954	-0.0746	0.0301	0.2647	0.2941	0.4412	0.7736	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2398	0.2105	0
pg12972-2	0.0141	0.1577	0.2106	0.0958	0.0272	0.0321	0.041	0.0511	0.0436	0	0.0014	0.0115	0.0029	0.105	-0.0378	0.0283	0.5882	0.0882	0.3235	0.7893	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2331	0.3947	0
pg12972-7	0.0126	0.1609	0.0854	0.0977	0.0229	0.0269	0.0399	0.0478	0.0517	0.0001	0.0014	0.011	0.0018	0.1002	-0.0741	0.0293	0.4545	0.1212	0.4242	0.7949	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1962	0.2105	0
pg12972-8	0.013	0.1443	0.2028	0.1093	0.0216	0.0258	0.0424	0.0528	0.047	0.0001	0.003	0.0136	0.0043	0.1118	-0.0559	0.0261	0.3824	0.0882	0.5294	0.8373	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1725	0.2105	0
pg12972-5	0.014	0.1078	0.2132	0.1043	0.0247	0.027	0.0367	0.0432	0.0547	0.0001	0.0021	0.0138	0.0051	0.0959	-0.0937	0.0318	0.3529	0.1471	0.5	0.8085	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2365	0.2105	0
pg12972-6	0.014	0.1476	0.1934	0.0917	0.0262	0.0297	0.0384	0.0506	0.0505	0	0.0021	0.0162	0.0026	0.1073	-0.0722	0.0296	0.4706	0.1471	0.3824	0.7882	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2096	0.2105	0
pg573-2	0.0104	0.3357	0.2304	0.0678	0.0329	0.019	0.0398	0.0728	0.0251	0.0075	0.0119	0.0039	0.0054	0.1359	0.1863	0	0.2857	0.2143	0.5	0.5942	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-1	0.0125	0.2941	0.1434	0.0744	0.0344	0.0227	0.0327	0.0781	0.0249	0.0054	0.0118	0.0042	0.0043	0.1322	0.1828	0	0.1429	0.3571	0.5	0.6255	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-4	0.0095	0.3443	0.2043	0.0791	0.033	0.0217	0.0404	0.0714	0.0205	0.0085	0.0139	0.0018	0.0032	0.136	0.3274	0	0.2143	0.5714	0.2143	0.5331	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-10	0.0198	0.3276	0.1588	0.078	0.0215	0.0242	0.0375	0.0567	0.0426	0.0003	0.0077	0.0104	0.0041	0.1126	-0.004	0.0301	0.28	0.32	0.4	0.7335	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.3006	0.3421	0
pg573-3	0.0087	0.4488	0.139	0.0696	0.0369	0.0249	0.0449	0.0719	0.019	0.0058	0.0143	0.0019	0.0025	0.1388	0.4027	0	0.2143	0.3571	0.4286	0.4819	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-6	0.0064	0.3996	0.2877	0.0606	0.035	0.0217	0.0419	0.0739	0.0218	0.0039	0.0095	0.002	0.0023	0.1312	0.3029	0	0.2143	0.2857	0.5	0.5542	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-5	0.0098	0.4161	0.2947	0.0656	0.0423	0.021	0.0479	0.0744	0.0195	0.0041	0.0116	0.0039	0.0025	0.1419	0.3791	0	0.1429	0.5	0.3571	0.4989	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-13	0.0122	0.5535	0.0447	0.0795	0.0233	0.0255	0.0371	0.0508	0.0452	0.0026	0.0067	0.0128	0.0022	0.11	-0.0077	0.0106	0.44	0.04	0.52	0.7145	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.0232	0.0263	0
pg573-8	0.0044	0.3407	0.2178	0.0764	0.0407	0.0217	0.0392	0.0747	0.0243	0.0078	0.0116	0.0023	0.0078	0.1356	0.1577	0	0.1429	0.2143	0.6429	0.6223	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-14	0.0113	0.4193	0.1001	0.0866	0.0243	0.0226	0.037	0.0531	0.0409	0.0021	0.009	0.0121	0.0032	0.1133	0.0305	0.0161	0.48	0.04	0.48	0.7325	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.0748	0.1579	0
pg573-7	0.0048	0.3674	0.2055	0.0845	0.0347	0.0222	0.0413	0.0797	0.0193	0.0077	0.0108	0.0027	0.0035	0.1422	0.36	0	0.2857	0.2143	0.5	0.5296	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-11	0.022	0.2872	0.2604	0.0923	0.0233	0.0215	0.0427	0.0543	0.0444	0.0004	0.0083	0.0112	0.0055	0.1169	-0.0217	0.0375	0.28	0.24	0.48	0.7539	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.3603	0.3684	0
pg14605-12	0.0118	0.484	0.1336	0.0797	0.0236	0.0256	0.0419	0.0566	0.0403	0.0006	0.0086	0.0158	0.003	0.1235	0.0252	0.0152	0.4	0.04	0.56	0.7199	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.1201	0.1316	0
pg573-9	0.0039	0.4231	0.2086	0.067	0.0351	0.0212	0.0435	0.0765	0.019	0.0054	0.0114	0.0018	0.0028	0.1386	0.3631	0	0.2857	0.3571	0.3571	0.5131	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14858-10	0.0239	0.2313	0.2868	0.0876	0.0238	0.0197	0.0377	0.0515	0.0446	0.0012	0.0062	0.0274	0.016	0.1241	-0.0901	0.0439	0.4286	0.2286	0.3429	0.7719	-0.1061	-0.2583	-0.0072	-0.0002	-0.0001	0.0106	-0.0101	-0.0078	0.0053	0.0068	0.012	-0.0096	0.3166	0.3158	0
pg14605-15	0.014	0.5139	0.0171	0.0715	0.0171	0.0241	0.0433	0.0581	0.0446	0.0027	0.0087	0.0121	0.0034	0.1249	-0.0016	0.0213	0.36	0.08	0.56	0.7205	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.1143	0.1316	0
pg36758-10	0.0246	0.2052	0.2063	0.0846	0.025	0.0213	0.0381	0.0618	0.0425	0.0017	0.0059	0.0079	0.0067	0.1154	-0.0309	0.0419	0.4615	0.1923	0.3462	0.7426	-0.1096	-0.3534	-0.0052	-0.0103	0.0125	0.0021	0.0047	0.0026	-0.0027	-0.0061	-0.0093	0.0117	0.366	0.2632	0
pg12184-2	0.019	0.1187	0.0861	0.0708	0.0244	0.0314	0.0376	0.0537	0.0415	0.0011	0.0008	0.0088	0.0039	0.102	-0.0025	0.0234	0.5	0.2143	0.2857	0.6874	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.227	0.3421	0
pg12184-3	0.0172	0.1638	0.0781	0.0676	0.0246	0.0263	0.0362	0.0642	0.0376	0.0004	0.0007	0.0078	0.0056	0.1093	0.0125	0.0252	0.4286	0.1786	0.3929	0.6688	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.2321	0.2895	0
pg1190-1	0.0057	0.4852	0.103	0.0821	0.0257	0.028	0.0301	0.0731	0.0232	0.0016	0.0092	0.0159	0.0043	0.1299	0.2285	0.0188	0.1786	0.3571	0.4643	0.5613	-0.1692	0.4566	-0.0098	-0.0038	-0.0075	0.0111	0.0018	-0.0057	0.0123	0.0067	0.0033	-0.0083	0.1201	0.1316	0
pg1190-2	0.0091	0.5179	0.0705	0.0927	0.0266	0.027	0.031	0.0729	0.0288	0.0015	0.0084	0.0203	0.0048	0.1342	0.095	0.0232	0.3571	0.2143	0.4286	0.6799	-0.1692	0.4566	-0.0098	-0.0038	-0.0075	0.0111	0.0018	-0.0057	0.0123	0.0067	0.0033	-0.0083	0.2226	0.2105	0
pg12184-1	0.021	0.1805	0.0439	0.0782	0.0221	0.0292	0.0371	0.0592	0.0355	0.0015	0.0003	0.0109	0.0069	0.109	0.0133	0.0408	0.3929	0.3571	0.25	0.7245	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.3839	0.3947	0
pg10379-6	0.0213	0.2781	0.2922	0.1011	0.0269	0.0234	0.0412	0.0567	0.0361	0.0029	0.0114	0.0135	0.0098	0.1257	-0.0047	0.0344	0.36	0.2	0.44	0.7905	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3248	0.3421	0
pg12184-6	0.016	0.1155	0.0432	0.0756	0.0253	0.0299	0.0352	0.0695	0.036	0.0008	0.0014	0.0049	0.0044	0.1118	0.0237	0.0328	0.2857	0.3571	0.3571	0.6446	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.3224	0.3158	0
pg42807-2	0.0177	0.3644	0.1494	0.0932	0.0226	0.0275	0.0234	0.0617	0.0403	0.0008	0.0019	0.0047	0.0019	0.0925	-0.0002	0.0404	0.3333	0.1852	0.4815	0.7042	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.4246	0.3684	0
pg10379-7	0.0229	0.2014	0.2089	0.1179	0.0286	0.0213	0.03	0.0615	0.0405	0.003	0.0079	0.0191	0.0156	0.1215	-0.0631	0.0444	0.28	0.24	0.48	0.8184	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3794	0.2895	0
pg42807-1	0.0136	0.2702	0.1454	0.0868	0.0246	0.0273	0.0253	0.0617	0.0392	0.0006	0.0025	0.0053	0.0025	0.0954	0.0013	0.033	0.2963	0.3333	0.3704	0.6838	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.3413	0.3684	0
pg10379-8	0.0248	0.2577	0.198	0.1188	0.0302	0.0222	0.0357	0.0635	0.0389	0.0028	0.0081	0.0172	0.0153	0.1273	-0.0677	0.0446	0.52	0.12	0.36	0.8341	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3613	0.4474	0
pg12184-4	0.0134	0.1197	0.1017	0.0723	0.0221	0.0285	0.0394	0.0686	0.0343	0.0008	0.0023	0.0078	0.0031	0.1189	0.0715	0.0173	0.4444	0.2963	0.2593	0.6616	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.1762	0.2895	0
pg10379-9	0.0211	0.2185	0.2036	0.1041	0.03	0.0233	0.0368	0.065	0.0364	0.002	0.0081	0.0187	0.0156	0.1306	-0.0461	0.0427	0.44	0.32	0.24	0.804	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3884	0.3684	0
pg12184-5	0.0176	0.1525	0.1123	0.0811	0.0284	0.028	0.0349	0.0665	0.0366	0.0011	0.0014	0.0074	0.0059	0.1113	0.0158	0.0236	0.5185	0.1481	0.3333	0.6573	0.0166	0.3317	0.0051	0.0139	-0.0075	-0.0009	-0.0045	-0.0045	-0.0062	-0.0007	0.0132	-0.0078	0.2455	0.3158	0
pg10379-2	0.0138	0.2853	0.2524	0.0816	0.0246	0.0281	0.0407	0.0649	0.033	0.0012	0.0131	0.0102	0.0059	0.1301	0.0737	0.0258	0.44	0.32	0.24	0.713	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3229	0.2895	0
pg10379-3	0.02	0.2528	0.1089	0.0985	0.0245	0.0233	0.0359	0.0619	0.0384	0.0023	0.011	0.0193	0.0115	0.1304	-0.0231	0.0378	0.44	0.24	0.32	0.7633	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3528	0.2895	0
pg10379-4	0.026	0.2597	0.1052	0.1032	0.0204	0.0228	0.0351	0.0591	0.0486	0.0025	0.0085	0.0162	0.0104	0.1214	-0.0834	0.0501	0.56	0.12	0.32	0.8209	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.401	0.3947	0
pg10379-5	0.0238	0.2716	0.1153	0.0867	0.0234	0.0227	0.0362	0.0614	0.0391	0.0027	0.0099	0.0154	0.0136	0.1256	-0.042	0.0468	0.36	0.16	0.48	0.7563	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.4087	0.3421	0
pg10379-1	0.013	0.2559	0.1716	0.0767	0.0206	0.026	0.0419	0.0626	0.0279	0.0018	0.0128	0.012	0.0045	0.1311	0.1437	0.0247	0.25	0.25	0.5	0.6723	-0.0396	-0.3984	0.0031	0.0128	-0.008	-0.0078	0.0027	-0.0055	0.012	-0.0038	-0.0097	0.0043	0.3384	0.2895	0
pg42807-6	0.0169	0.3903	0.0215	0.09	0.0217	0.0282	0.0266	0.0629	0.0417	0.0003	0.001	0.0058	0.0025	0.0966	-0.0149	0.0381	0.4074	0.1481	0.4444	0.6981	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.3843	0.4211	0
pg42807-5	0.02	0.2802	0.0878	0.1081	0.0218	0.0253	0.0216	0.0682	0.0426	0.0005	0.0022	0.0062	0.0037	0.0987	-0.0309	0.0471	0.6667	0.037	0.2963	0.7472	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.4567	0.5263	0
pg42807-4	0.0173	0.3227	0.0932	0.0943	0.0216	0.0289	0.0226	0.0636	0.0414	0.0003	0.0022	0.0037	0.0017	0.0924	-0.0084	0.0411	0.5185	0.1852	0.2963	0.6955	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.4211	0.4474	0
pg42807-3	0.0205	0.2536	0.1487	0.1068	0.0237	0.0272	0.0249	0.0592	0.0458	0.0008	0.0018	0.0058	0.0033	0.0925	-0.0594	0.0519	0.5556	0.1481	0.2963	0.7622	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.4596	0.4737	0
pg14145-2	0.0121	0.2729	0.1665	0.0609	0.0208	0.0311	0.0426	0.0512	0.0389	0.0015	0.0046	0.0102	0.0045	0.1101	0.0125	0.0237	0.3611	0.1667	0.4722	0.6362	0.0097	-0.5465	-0.002	0.002	-0.0055	-0.0112	0.0156	-0.003	-0.0072	0.0001	-0.0008	0.012	0.0692	0.0263	0
pg14145-1	0.0134	0.3298	0.0957	0.0747	0.0193	0.03	0.0443	0.0576	0.0443	0.0013	0.006	0.0109	0.0124	0.1201	-0.0529	0.024	0.4324	0.1892	0.3784	0.705	0.0097	-0.5465	-0.002	0.002	-0.0055	-0.0112	0.0156	-0.003	-0.0072	0.0001	-0.0008	0.012	0.0678	0.0789	0
pg14145-4	0.0228	0.3328	0.0938	0.1015	0.0232	0.0252	0.0278	0.0443	0.0651	0.0013	0.0022	0.0109	0.0111	0.0865	-0.1501	0.0463	0.5676	0	0.4324	0.7962	0.0097	-0.5465	-0.002	0.002	-0.0055	-0.0112	0.0156	-0.003	-0.0072	0.0001	-0.0008	0.012	0.1258	0.2632	0
pg42807-8	0.0179	0.4036	0.089	0.0441	0.0189	0.0291	0.0323	0.0641	0.0465	0.0004	0.0006	0.0097	0.0006	0.107	-0.0112	0.0342	0.4815	0.2222	0.2963	0.6037	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.3086	0.2895	0
pg14145-3	0.0156	0.2907	0.1898	0.0758	0.0243	0.0258	0.0421	0.0557	0.0435	0.0008	0.0051	0.0081	0.0119	0.1118	-0.0616	0.0338	0.4595	0.1892	0.3514	0.7183	0.0097	-0.5465	-0.002	0.002	-0.0055	-0.0112	0.0156	-0.003	-0.0072	0.0001	-0.0008	0.012	0.1052	0.2895	0
pg42807-7	0.0146	0.4229	0.0799	0.0899	0.0203	0.0276	0.0249	0.0585	0.0421	0.0002	0.0002	0.0049	0.0028	0.0887	-0.0106	0.0331	0.4231	0.1154	0.4615	0.68	-0.0717	-0.3959	0.0002	-0.0071	-0.0077	0.0052	-0.0094	-0.0027	0.0072	0.0119	0.0098	-0.0071	0.3326	0.4474	0
pg13454-2	0.0129	0.0693	0.2673	0.0835	0.0261	0.0286	0.0384	0.0549	0.0381	0.0006	0.0025	0.0081	0.0044	0.1045	0.0235	0.0004	0.4545	0.1818	0.3636	0.7135	0.1794	-0.222	-0.0004	0.0139	0.0029	0.0026	-0.0031	-0.0045	-0.0116	-0.0055	0.0122	-0.0065	0	0	0
pg13454-1	0.0116	0.1764	0.132	0.0583	0.0205	0.0314	0.0337	0.0622	0.026	0.0021	0.0028	0.0172	0.0031	0.118	0.1846	0.0002	0.3182	0.4545	0.2273	0.5956	0.1794	-0.222	-0.0004	0.0139	0.0029	0.0026	-0.0031	-0.0045	-0.0116	-0.0055	0.0122	-0.0065	0	0	0
pg30212-5	0.0214	0.4601	0.0043	0.0682	0.0257	0.0274	0.0336	0.0672	0.034	0.0007	0.0038	0.0026	0.0017	0.1079	0.0935	0.0228	0.3913	0.087	0.5217	0.6587	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.297	0.0789	0
pg30212-4	0.0244	0.4195	0.0985	0.0657	0.0287	0.0259	0.0286	0.0707	0.0339	0.0007	0.0043	0.0017	0.0033	0.106	0.0771	0.0316	0.4783	0.2174	0.3043	0.6823	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.3885	0.2368	0
pg30212-3	0.0229	0.5147	0.0109	0.068	0.0239	0.0261	0.0286	0.0591	0.0352	0.0007	0.0024	0.0007	0.0021	0.0915	0.0693	0.0166	0.1739	0.1739	0.6522	0.6605	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.2113	0.0526	0
pg30212-2	0.0202	0.564	0.0564	0.0649	0.0273	0.0281	0.0314	0.0624	0.0319	0.0004	0.0027	0.0023	0.0019	0.0992	0.1193	0.0148	0.2609	0.2609	0.4783	0.6538	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.2069	0.1316	0
pg12416-1	0.0278	0.0631	0.1041	0.1076	0.024	0.0246	0.0325	0.0592	0.054	0.0009	0.0016	0.0097	0.0085	0.1039	-0.1026	0.0565	0.4231	0.1154	0.4615	0.8185	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.366	0.4474	0
pg30212-1	0.0217	0.3249	0.1383	0.0545	0.0243	0.0264	0.0278	0.0647	0.0316	0.0006	0.0046	0.0018	0.0029	0.0995	0.1139	0.0254	0.1304	0.2174	0.6522	0.6468	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.358	0.1842	0
pg12416-3	0.0142	0.1134	0.1103	0.0758	0.0221	0.0285	0.0424	0.057	0.0368	0.0002	0.0018	0.0094	0.0079	0.1108	0.0125	0.0181	0.4231	0.2692	0.3077	0.676	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.1381	0.1053	0
pg12416-2	0.0168	0.0972	0.1146	0.0959	0.0245	0.0257	0.0397	0.054	0.0429	0.0007	0.0026	0.0082	0.0089	0.1052	-0.0444	0.029	0.4615	0.0385	0.5	0.7523	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.2189	0.2368	0
pg12416-5	0.0101	0.0861	0.0538	0.0663	0.0266	0.0338	0.0412	0.0582	0.0366	0.0002	0.0018	0.0101	0.0023	0.1115	0.0682	0.0088	0.4231	0.1538	0.4231	0.6397	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.0103	0.0526	0
pg12416-4	0.0141	0.1262	0.1011	0.0687	0.0272	0.0284	0.0422	0.0574	0.038	0.0007	0.0017	0.0089	0.0029	0.1109	0.0417	0.0098	0.3846	0.5	0.1154	0.6761	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.0625	0.1316	0
pg1422-1	0.0137	0.3778	0.0133	0.0866	0.0207	0.0307	0.034	0.0752	0.0315	0.0021	0.0064	0.0132	0.0049	0.1308	0.0602	0.0242	0.6154	0	0.3846	0.7251	-0.1543	-1.7356	-0.0048	0.0082	0.0054	0.0105	-0.0086	-0.0066	-0.0048	-0.0046	0.0128	-0.0075	0.212	0.1053	0
pg12416-7	0.0066	0.1058	0.068	0.0644	0.0282	0.0297	0.0425	0.0567	0.0346	0.0004	0.0035	0.011	0.0047	0.1141	0.0515	0.0076	0.52	0.16	0.32	0.6666	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.0123	0	0
pg12416-6	0.0084	0.089	0.0607	0.0733	0.0222	0.0309	0.0418	0.0565	0.0368	0	0.0037	0.011	0.0026	0.113	0.0618	0.0066	0.3846	0.3846	0.2308	0.6544	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.0304	0.0789	0
pg12416-8	0.0073	0.1053	0.0834	0.0668	0.0261	0.0315	0.0415	0.0544	0.0358	0.0004	0.0032	0.0111	0.0064	0.1106	0.0281	0.0067	0.2308	0.3846	0.3846	0.6626	0.0361	0.4462	0.014	-0.0063	-0.0019	-0.0017	-0.0091	-0.0004	-0.006	-0.0063	0.003	0.0147	0.0056	0.0263	0
pg30212-6	0.0185	0.5629	0	0.0581	0.03	0.0247	0.0307	0.0607	0.0339	0.0004	0.0023	0.0012	0.0014	0.0953	0.0964	0.014	0.1739	0.2174	0.6087	0.6029	-0.1302	-0.2693	0.0086	-0.0004	-0.0039	0.0125	-0.0057	-0.011	0.0106	-0.001	-0.0096	-0.0001	0.1873	0.1579	0
pg16381-6	0.0219	0.4637	0.015	0.0537	0.0194	0.0289	0.0354	0.051	0.0512	0.0007	0.0036	0.0092	0.0087	0.0999	-0.075	0.0355	0.5	0.1111	0.3889	0.7018	0.0062	-0.3128	0.0054	-0.0086	-0.0052	0.0003	-0.001	0.0137	0.0122	0	-0.0114	-0.0054	0.2908	0.3684	0
pg44375-5	0.0311	0.1702	0.0679	0.0895	0.0268	0.0205	0.0224	0.07	0.0397	0.0027	0.0149	0.0045	0.0072	0.1145	-0.0271	0.0608	0.2308	0.3846	0.3846	0.657	-0.066	0.3699	0.0122	-0.0062	-0.0074	-0.0031	-0.0099	-0.0006	0.0037	0.0147	0.0014	-0.0048	0.6036	0.2368	0
pg16381-5	0.0225	0.3752	0.0294	0.0562	0.0219	0.0305	0.0393	0.0502	0.0534	0.0003	0.0023	0.0109	0.0068	0.103	-0.0873	0.0365	0.6486	0.1622	0.1892	0.7172	0.0062	-0.3128	0.0054	-0.0086	-0.0052	0.0003	-0.001	0.0137	0.0122	0	-0.0114	-0.0054	0.2862	0.3158	0
pg44375-6	0.0232	0.285	0.028	0.0666	0.0299	0.0257	0.0255	0.0699	0.0349	0.0031	0.013	0.0053	0.0049	0.1168	0.0342	0.0335	0.3846	0.2692	0.3462	0.6347	-0.066	0.3699	0.0122	-0.0062	-0.0074	-0.0031	-0.0099	-0.0006	0.0037	0.0147	0.0014	-0.0048	0.3806	0.2105	0
pg16381-8	0.03	0.304	0.2282	0.0752	0.0225	0.0288	0.0295	0.0537	0.0621	0.0006	0.002	0.0065	0.0117	0.0923	-0.1326	0.0562	0.6486	0.1081	0.2432	0.7131	0.0062	-0.3128	0.0054	-0.0086	-0.0052	0.0003	-0.001	0.0137	0.0122	0	-0.0114	-0.0054	0.359	0.6579	0
