Category	BookID	BookName	Lang	Author
Western Stories	2866	Windsor Castle	en	Ainsworth, William Harrison
Western Stories	23564	Rookwood	en	Ainsworth, William Harrison
Horror and Ghost	46129	The Data of Ethics	en	Spencer, Herbert
Horror and Ghost	55046	First Principles	en	Spencer, Herbert
Horror and Ghost	4555	Percy Bysshe Shelley	en	Symonds, John Addington
Horror and Ghost	11242	The Life of Michelangelo Buonarroti	en	Symonds, John Addington
Horror and Ghost	25842	Royal Palaces and Parks of France	en	McManus, Blanche
Horror and Ghost	27015	More Science From an Easy Chair	en	Lankester, E. Ray (Edwin Ray), Sir
Horror and Ghost	29820	The Cathedrals of Northern France	en	McManus, Blanche
Horror and Ghost	31936	The Cathedrals and Churches of the Rhine	en	McManus, Blanche
Horror and Ghost	35212	The Cathedrals of Southern France	en	McManus, Blanche
Horror and Ghost	37211	Castles and Chateaux of Old Touraine and the Loire Country	en	McManus, Blanche
Horror and Ghost	42866	Rambles in Brittany	en	McManus, Blanche
Horror and Ghost	42899	Rambles in Normandy	en	McManus, Blanche
Horror and Ghost	42941	Rambles on the Riviera	en	McManus, Blanche
Horror and Ghost	43609	Castles and Chateaux of Old Navarre and the Basque Provinces	en	McManus, Blanche
Horror and Ghost	44212	Italian Highways and Byways from a Motor Car	en	McManus, Blanche
Horror and Ghost	46678	Castles and Chateaux of Old Burgundy	en	McManus, Blanche
Horror and Ghost	9799	It Happened in Egypt	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	10410	The Powers and Maxine	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	11016	The Port of Adventure	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	14740	The Princess Passes	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	17342	The Motor Maid	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	18470	The Second Latchkey	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	19108	The Golden Silence	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	19412	Set in Silver	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	19441	My Friend the Chauffeur	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	19569	The Guests Of Hercules	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	20815	A Soldier of the Legion	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	21529	The Chauffeur and the Chaperon	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	23441	Lady Betty Across the Water	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	23500	The Car of Destiny	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	29083	The Lightning Conductor Discovers America	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	29715	The Princess Virginia	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	32428	The Brightener	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	33995	Where the Path Breaks	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	34919	Vision House	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	38470	Lord John in New York	en	Williamson, C. N. (Charles Norris)
Horror and Ghost	39984	Lord Loveland Discovers America	en	Williamson, C. N. (Charles Norris)
Humor, wit and satire	15670	The Secret Chamber at Chad	en	Everett-Green, Evelyn
Humor, wit and satire	40508	True Stories of Girl Heroines	en	Everett-Green, Evelyn
Humor, wit and satire	45201	Fallen Fortunes	en	Everett-Green, Evelyn
Humor, wit and satire	54994	Squib and His Friends	en	Everett-Green, Evelyn
Humor, wit and satire	31590	Scouting with Daniel Boone	en	Tomlinson, Everett T. (Everett Titsworth)
Humor, wit and satire	31914	The Story of General Pershing	en	Tomlinson, Everett T. (Everett Titsworth)
Humor, wit and satire	39473	The Young Sharpshooter at Antietam	en	Tomlinson, Everett T. (Everett Titsworth)
Humor, wit and satire	40927	Scouting with Kit Carson	en	Tomlinson, Everett T. (Everett Titsworth)
Humor, wit and satire	38280	Modern Essays	en	Dounce, Harry Esty
Humor, wit and satire	573	Tales from Shakespeare	en	Lamb, Charles
Humor, wit and satire	996	Don Quixote	en	Cervantes Saavedra, Miguel de
Humor, wit and satire	10125	The Best Letters of Charles Lamb	en	Lamb, Charles
Humor, wit and satire	14420	The Exemplary Novels of Cervantes	en	Cervantes Saavedra, Miguel de
Humor, wit and satire	20657	Tales from Shakespeare	en	Lamb, Charles
Humor, wit and satire	24754	Wit and Wisdom of Don Quixote	en	Cervantes Saavedra, Miguel de
Humor, wit and satire	29468	The Story of Don Quixote	en	Cervantes Saavedra, Miguel de
Humor, wit and satire	35993	The History of Don Quixote de la Mancha	en	Cervantes Saavedra, Miguel de
Humor, wit and satire	16921	Plague Ship	en	Norton, Andre
Humor, wit and satire	18458	Star Born	en	Norton, Andre
Humor, wit and satire	18817	Ralestone Luck	en	Norton, Andre
Humor, wit and satire	19145	The Time Traders	en	Norton, Andre
Humor, wit and satire	19651	Key Out of Time	en	Norton, Andre
Humor, wit and satire	20788	Storm Over Warlock	en	Norton, Andre
Humor, wit and satire	20840	Rebel Spurs	en	Norton, Andre
Humor, wit and satire	25550	The Defiant Agents	en	Norton, Andre
Humor, wit and satire	34506	German Fiction	en	Goethe, Johann Wolfgang von
Romance	22214	Molly Bawn	en	Duchess
Romance	31492	Rossmoyne	en	Duchess
Romance	35228	Airy Fairy Lilian	en	Duchess
Romance	41496	Addison	en	Courthope, William John
Romance	25345	The Goose Man	en	Wassermann, Jakob
Romance	39254	Held by Chinese Brigands	en	Gilson, Charles
Romance	39387	Submarine U93	en	Gilson, Charles
Romance	42308	Overland Tales	en	Clifford, Josephine
Adventure	13501	Lady Connie	en	Sterner, Albert
Adventure	14126	The Marriage of William Ashe	en	Sterner, Albert
Adventure	29728	Cookery and Dining in Imperial Rome	en	Apicius
Adventure	38448	Modern Magic	en	Schele de Vere, M. (Maximilian)
Adventure	44430	Myths of the Rhine	en	Schele de Vere, M. (Maximilian)
Adventure	388	The Crossing	en	Churchill, Winston
Adventure	5400	Project Gutenberg Complete Works of Winston Churchill	en	Churchill, Winston
Adventure	34632	Selected Sermons of Jonathan Edwards	en	Edwards, Jonathan
Literary	10826	The Book-Bills of Narcissus - An Account Rendered by Richard Le Gallienne	en	Richard Le Gallienne
Literary	20359	The Lovely Lady	en	Mary Hunter Austin
Literary	20424	A Son of the Hills	en	Harriet T. Comstock
Literary	20429	The Seventh Noon	en	Frederick Orin Bartlett
Literary	20462	Ernest Linwood- The Inner Life of the Author	en	Caroline Lee Hentz
Literary	20610	The Complete Prose Works of Martin Farquhar Tupper	en	Martin Farquhar Tupper
Literary	20615	The Master-Knot of Human Fate	en	Ellis Meredith
Romance	20661	The Romance of an Old Fool	en	Roswell Martin Field
Literary	20835	The Monctons: A Novel. Volume 1 (of 2)	en	Susanna Moodie
Romance	20901	In Apple-Blossom Time: A Fairy-Tale to Date	en	Clara Louise Burnham
Detective and Mystery	10067	The Mystery of the Boule Cabinet: A Detective Story	en	Burton Egbert Stevenson
Literary	1032	The Pupil	en	Henry James
Literary	10379	At Love's Cost	en	Charles Garvice
Western Stories	10473	The Heart of the Range	en	William Patterson White
Literary	10812	The Worshipper of the Image	en	Richard Le Gallienne
Detective and Mystery	10943	Elusive Isabel	en	Jacques Futrelle
Literary	11004	Joe Burke's Last Stand	en	John Moncure Wetterau
Literary	11005	O+F	en	John Moncure Wetterau
Literary	11259	Polly and the Princess	en	Emma C. Dowd
Literary	11280	Maggie Miller: The Story of Old Hagar's Secret	en	Mary Jane Holmes
Literary	11520	The Obstacle Race	en	Ethel M. Dell
Literary	11581	From out the Vasty Deep	en	Marie Belloc Lowndes
Literary	11655	Fate Knocks at the Door: A Novel	en	Will Levington Comfort
Literary	11674	The Torrent (Entre Naranjos)	en	Vicente Blasco Ibez
Horror and Ghost	1190	The Jolly Corner	en	Henry James
Literary	1193	The Coxon Fund	en	Henry James
Literary	11931	The Mystery of Monastery Farm	en	H. R. Naylor
Literary	11970	Wife in Name Only	en	Charlotte M. Brame
Literary	12102	Darrel of the Blessed Isles	en	Irving Bacheller
Detective and Mystery	1218	The Adventures of Jimmie Dale	en	Frank L. Packard
Literary	12181	The Story of Bessie Costrell	en	Mrs. Humphry Ward
Literary	12303	Fated to Be Free: A Novel	en	Jean Ingelow
Literary	12304	Nancy: A Novel	en	Rhoda Broughton
Literary	12360	The Top of the World	en	Ethel M. Dell
Literary	12450	The Reason Why	en	Elinor Glyn
Literary	12453	Miriam Monfort - A Novel	en	Catherine A. Warfield
Literary	12470	A Perilous Secret	en	Charles Reade
Literary	12520	Deadham Hard: A Romance	en	Lucas Malet
Literary	1253	A Simple Soul	en	Gustave Flaubert
Literary	12672	A Spinner in the Sun	en	Myrtle Reed
Literary	1273	The Autobiography of a Slander	en	Edna Lyall
Literary	12733	Tokyo to Tijuana: Gabriele Departing America	en	Steven David Justin Sills
Literary	12886	The Coquette's Victim - Everyday Life Library No. 1	en	Charlotte M Brame
Literary	12935	The Song of the Blood-Red Flower	en	Johannes Linnankoski
Literary	12972	People Like That - A Novel	en	Kate Langley Bosher
Literary	12989	The Lady of Big Shanty	en	F. Berkeley Smith
Literary	13057	The Philanderers	en	A. E. W. Mason
Literary	13162	Coralie - Everyday Life Library No. 2	en	Charlotte M. Brame
Literary	13178	Broken to the Plow - A Novel	en	Charles Caldwell Dobie
Literary	13212	The Wild Olive: A Novel	en	Basil King
Literary	13257	The American Baron: A Novel	en	James De Mille
Literary	13273	Out of the Ashes	en	Ethel Watts Mumford Grant
Literary	13312	The Light That Lures	en	Percy James Brebner
Literary	13432	Miss Bretherton	en	Mrs. Humphry Ward
Literary	13454	Aylwin	en	Theodore Watts-Dunton
Literary	13541	The Collected Works of Ambrose Bierce- Volume 1	en	Ambrose Bierce
Literary	13572	The Son of Clemenceau- A Novel of Modern Love and Life	en	Alexandre Dumas
Literary	13776	One Day  A sequel to 'Three Weeks'	en	Elinor Glyn
Literary	13913	The Port of Missing Men	en	Meredith Nicholson
Romance	13960	Charles Rex	en	Ethel M. Dell
Literary	13985	V. V.'s Eyes	en	Henry Sydnor Harrison
Romance	14051	The End of the World: A Love Story	en	Edward Eggleston
Adventure	14079	Sandy	en	Alice Caldwell Hegan Rice
Literary	14145	If Winter Comes	en	A. S. M. Hutchinson
Literary	1422	Going into Society	en	Charles Dickens
Literary	14303	Queed - A Novel	en	Henry Sydnor Harrison
Literary	14382	The Missing Bride	en	Emma Dorothy Eliza Nevitte Southworth
Literary	14395	Septimus	en	William John Locke
Literary	14427	True Love's Reward - A Sequel to Mona	en	Mrs. Georgie Sheldon
Literary	14454	The Doctor's Dilemma	en	Hesba Stretton
Literary	14490	A Daughter of To-Day	en	Sara Jeannette Duncan
Literary	14523	Sister Carmen	en	M. Corvus
Literary	14581	The Just and the Unjust	en	Vaughan Kester
Literary	14605	The Devil's Garden	en	W. B. Maxwell
Literary	14669	Jaffery	en	William John Locke
Literary	14687	Christian's Mistake	en	Dinah Maria Mulock Craik
Romance	14708	The Laurel Bush: An Old-Fashioned Love Story	en	Dinah Maria Mulock Craik
Literary	14712	Vandover and the Brute	en	Frank Norris
Literary	14852	The Younger Set	en	Robert W. Chambers
Literary	14858	The Man Thou Gavest	en	Harriet T. Comstock
Literary	14885	Red Pottage	en	Mary Cholmondeley
Literary	15013	The Keeper of the Door	en	Ethel M. Dell
Literary	15067	The Cathedral	en	J.-K. Huysmans
Literary	15094	The Cab of the Sleeping Horse	en	John Reed Scott
Literary	15116	The Jervaise Comedy	en	J. D. Beresford
Literary	15117	Sea and Shore - A Sequel to "Miriam's Memoirs"	en	Catherine A. Warfield
Literary	15123	David LockwinÃ¢â‚¬â€The People's Idol	en	John McGovern
Literary	15179	The Inner Sisterhood - A Social Study in High Colors	en	Douglass Sherley
Literary	15181	My Mother's Rival - Everyday Life Library No. 4	en	Charlotte M. Brame
Literary	15182	Marion Arleigh's Penance - Everyday Life Library No. 5	en	Charlotte M. Brame
Literary	15183	The Tragedy of the Chain Pier - Everyday Life Library No. 3	en	Charlotte M. Brame
Literary	15244	Lewie - The Bended Twig	en	Sarah H. Bradford
Literary	15275	Bessie's Fortune: A Novel	en	Mary Jane Holmes
Literary	15315	Gladys- the Reaper	en	Anne Beale
Literary	15317	The Baronet's Bride- A Woman's Vengeance	en	May Agnes Fleming
Literary	15321	Tracy Park: A Novel	en	Mary Jane Holmes
Literary	15430	The Lever: A Novel	en	William Dana Orcutt
Literary	15498	Trumps	en	George William Curtis
Literary	15527	Captivity	en	Leonora Eyles
Literary	15671	A Splendid Hazard	en	Harold MacGrath
Literary	15704	Far to Seek - A Romance of England and India	en	Maud Diver
Literary	15743	Bunker Bean	en	Harry Leon Wilson
Literary	15774	Ishmael- In the Depths	en	Emma Dorothy Eliza Nevitte Southworth
Literary	15793	An Unpardonable Liar	en	Gilbert Parker
Literary	15797	The Seeker	en	Harry Leon Wilson
Literary	15799	Walter Harland - Memories of the Past	en	Harriet S. Caswell
Literary	15864	Garman and Worse: A Norwegian Novel	en	Alexander Lange Kielland
Literary	15875	The Unseen Bridegroom- Wedded For a Week	en	May Agnes Fleming
Literary	15934	His Excellency the Minister	en	Jules Claretie
Literary	15941	An Englishwoman's Love-Letters	en	Laurence Housman
Literary	15989	The Fatal Glove	en	Clara Augusta
Literary	16039	The Lost Lady of Lone	en	Emma Dorothy Eliza Nevitte Southworth
Literary	16080	Uncle Max	en	Rosa Nouchette Carey
Literary	16094	For Woman's Love	en	Emma Dorothy Eliza Nevitte Southworth
Literary	16138	The Cromptons	en	Mary Jane Holmes
Literary	16143	A Man and a Woman	en	Stanley Waterloo
Literary	16217	Prince Fortunatus	en	William Black
Literary	16252	Jan: A Dog and a Romance	en	A. J. Dawson
Literary	16283	Idolatry: A Romance	en	Julian Hawthorne
Literary	1634	The Foolish Virgin	en	Thomas Dixon
Literary	16345	Ellen Walton - The Villain and His Victims	en	Alvin Addison
Literary	16381	The Summons	en	A. E. W. Mason
Literary	16398	What Necessity Knows	en	L. Dougall
Literary	16403	Led Astray and The Sphinx - Two Novellas In One Volume	en	Octave Feuillet
Literary	16453	The Measure of a Man	en	Amelia E. Barr
Romance	16497	The Moon out of Reach	en	Margaret Pedler
Literary	16574	The Twins - A Domestic Novel	en	Martin Farquhar Tupper
Literary	16612	The Lee Shore	en	Rose Macaulay
Literary	16662	Bad Hugh	en	Mary Jane Holmes
Literary	16676	Eveline Mandeville - The Horse Thief Rival	en	Alvin Addison
Literary	16682	Adrien Leroy	en	Charles Garvice
Literary	16703	A Comedy of Masks: A Novel	en	Dowson
Literary	16719	The Husbands of Edith	en	George Barr McCutcheon
Literary	16720	Marzio's Crucifix and Zoroaster	en	F. Marion Crawford
Literary	16730	Mike Fletcher: A Novel	en	George Augustus Moore
Literary	16771	Jacqueline of Golden River	en	H. M. Egbert
Literary	16788	My Little Lady	en	E. Frances Poynter
Literary	16798	Elster's Folly: A Novel	en	Mrs. Henry Wood
Literary	16799	Dangerous Ages	en	Rose Macaulay
Literary	16803	Lydia of the Pines	en	Honor Morrow
Literary	16836	Mark Hurdlestone - The Two Brothers	en	Susanna Moodie
Literary	16909	The Halo	en	Bettina Von Hutten
Detective and Mystery	16919	The Bradys and the Girl Smuggler Working for the Custom House	en	Francis Worcester Doughty
Literary	16968	The Bad Man: A Novel	en	Browne
Detective and Mystery	1699	The Vanished Messenger	en	E. Phillips Oppenheim
Literary	16993	Miss Dexie - A Romance of the Provinces	en	Stanford Eveleth
Adventure	17047	The Half-Hearted	en	John Buchan
Literary	17048	The Man and the Moment	en	Elinor Glyn
Literary	17062	The Crock of Gold - A Rural Novel	en	Martin Farquhar Tupper
Literary	17141	Destiny	en	Charles Neville Buck
Literary	17191	The Actress in High Life - An Episode in Winter Quarters	en	Sue Petigru Bowen
Literary	17241	Atlantis	en	Gerhart Hauptmann
Literary	17308	Sunrise	en	William Black
Romance	17359	Arms and the Woman	en	Harold MacGrath
Literary	17390	Hearts and Masks	en	Harold MacGrath
Literary	17402	The Adventures of Kathlyn	en	Harold MacGrath
Literary	17446	The Second Honeymoon	en	Ruby M. Ayres
Literary	1747	The Red Seal	en	Natalie Sumner Lincoln
Detective and Mystery	1748	Other People's Money	en	Emile Gaboriau
Literary	17559	On the Church Steps	en	Sarah C. Hallowell
Literary	17564	By the Light of the Soul: A Novel	en	Mary Eleanor Wilkins Freeman
Literary	17698	Bella Donna: A Novel	en	Robert Hichens
Literary	17745	The Courage of Marge O'Doone	en	James Oliver Curwood
Literary	17806	Foes in Ambush	en	Charles King
Literary	17938	Contrary Mary	en	Temple Bailey
Literary	18022	Betty at Fort Blizzard	en	Molly Elliot Seawell
Literary	18052	Medoline Selwyn's Work	en	Mrs. J. J. Colter
Literary	18054	The Zeit-Geist	en	L. Dougall
Western Stories	1809	Bucky O'Connor: A Tale of the Unfenced Border	en	William MacLeod Raine
Literary	18239	The Road to Mandalay - A Tale of Burma	en	B. M. Croker
Literary	18259	Gentle Julia	en	Booth Tarkington
Literary	18280	Enter Bridget	en	Thomas Cobb
Detective and Mystery	1832	The Case of the Lamp That Went Out	en	Auguste Groner
Detective and Mystery	1833	The Case of the Registered Letter	en	Auguste Groner
Literary	18336	The Lighted Match	en	Charles Neville Buck
Detective and Mystery	1834	The Case of the Pocket Diary Found in the Snow	en	Auguste Groner
Detective and Mystery	1835	The Case of the Pool of Blood in the Pastor's Study	en	Auguste Groner
Detective and Mystery	1836	The Case of the Golden Bullet	en	Auguste Groner
Literary	18434	A Melody in Silver	en	Keene Abbott
Literary	18443	Parrot & Co.	en	Harold MacGrath
Literary	18449	The Treasure of Heaven: A Romance of Riches	en	Marie Corelli
Western Stories	1846	The Vision Splendid	en	William MacLeod Raine
Literary	18488	The Place Beyond the Winds	en	Harriet T. Comstock
Literary	18489	A Court of Inquiry	en	Grace S. Richmond
Detective and Mystery	1849	The Yellow Crayon	en	E. Phillips Oppenheim
Detective and Mystery	1851	The Woman in the Alcove	en	Anna Katharine Green
Literary	18545	A Mummer's Tale	en	Anatole France
Detective and Mystery	1857	Initials Only	en	Anna Katharine Green
Literary	18572	The President: A Novel	en	Alfred Henry Lewis
Literary	18705	The Poor Plutocrats	en	Mr Jkai
Literary	18708	Dr. Dumany's Wife	en	Mr Jkai
Literary	1875	Painted Windows	en	Elia Wilkinson Peattie
Detective and Mystery	1878	A Millionaire of Yesterday	en	E. Phillips Oppenheim
Literary	18822	The House of Martha	en	Frank Richard Stockton
Literary	18829	Winner Take All	en	Larry Evans
Detective and Mystery	1888	The Bittermeads Mystery	en	E. R. Punshon
Literary	18894	Then I'll Come Back to You	en	Larry Evans
Western Stories	1897	The Seventh Man	en	Max Brand
Literary	18984	The Starbucks	en	Opie Percival Read
Detective and Mystery	19147	The House in the Mist	en	Anna Katharine Green
Literary	19173	The Cow Puncher	en	Robert J. C. Stead
Literary	19204	Lady Larkspur	en	Meredith Nicholson
Literary	19224	The Alchemist's Secret	en	Isabel Cecilia Williams
Literary	19225	Joyce of the North Woods	en	Harriet T. Comstock
Literary	19257	Michael McGrath- Postmaster	en	Ralph Connor
Literary	19259	His Heart's Queen	en	Mrs. Georgie Sheldon
Literary	19459	Born Again	en	Alfred W. Lawson
Western Stories	19472	Branded	en	Francis Lynde
Literary	19510	North of Fifty-Three	en	Bertrand W. Sinclair
Literary	19512	Kate Danton- Captain Danton's Daughters: A Novel	en	May Agnes Fleming
Detective and Mystery	1960	Sight Unseen	en	Mary Roberts Rinehart
Detective and Mystery	1963	The Confession	en	Mary Roberts Rinehart
Literary	19818	Dixie Hart	en	Will N. Harben
Literary	20235	Heart - A Social Novel	en	Martin Farquhar Tupper
Literary	20257	A Political Romance	en	Laurence Sterne
Literary	20458	The Triflers	en	Frederick Orin Bartlett
Adventure	21067	Overdue: The Story of a Missing Ship	en	Harry Collingwood
Adventure	21087	The Ghost Ship: A Mystery of the Sea	en	John C. Hutcheson
Literary	2155	Phyllis of Philistia	en	Frank Frankfort Moore
Adventure	21578	Rattlin the Reefer	en	Edward Howard
Literary	21613	On the Stairs	en	Henry Blake Fuller
Literary	21641	April's Lady: A Novel	en	Duchess|
Literary	21674	The Making of a Soul	en	Kathlyn Rhodes
Literary	21689	The Tyranny of Weakness	en	Charles Neville Buck
Literary	21690	Flint: His Faults- His Friendships and His Fortunes	en	Maud Wilder Goodwin
Literary	21767	Agatha's Husband: A Novel	en	Dinah Maria Mulock Craik
Literary	21821	The Mark Of Cain	en	Andrew Lang
Literary	21858	The Daughters of Danaus	en	Mona Caird
Literary	21867	Afterwards	en	Kathlyn Rhodes
Literary	21870	Luna Benamor	en	Vicente Blasco Ibez
Adventure	21887	Blacksheep! Blacksheep!	en	Meredith Nicholson
Literary	21932	Embarrassments	en	Henry James
Literary	21944	The Pleasant Street Partnership: A Neighborhood Story	en	Mary Finley Leonard
Literary	22158	The Lure of the Mask	en	Harold MacGrath
Literary	22202	Aunt Rachel - A Rustic Sentimental Comedy	en	David Christie Murray
Literary	22205	In Direst Peril	en	David Christie Murray
Literary	22206	An Old Meerschaum - From Coals Of Fire And Other Stories- Volume II. (of III.)	en	David Christie Murray
